class	kind	name	signature
android/app/ActivityThread	Method	getApplication	()Landroid/app/Application;
android/app/ActivityThread	StaticMethod	currentActivityThread	()Landroid/app/ActivityThread;
android/content/Context	Method	getSharedPreferences	(Ljava/lang/String;I)Landroid/content/SharedPreferences;
android/content/res/Configuration	Field	colorMode	I
android/content/res/Configuration	Field	densityDpi	I
android/content/res/Configuration	Field	fontScale	F
android/content/res/Configuration	Field	fontWeightAdjustment	I
android/content/res/Configuration	Field	hardKeyboardHidden	I
android/content/res/Configuration	Field	keyboardHidden	I
android/content/res/Configuration	Field	keyboard	I
android/content/res/Configuration	Field	mcc	I
android/content/res/Configuration	Field	mnc	I
android/content/res/Configuration	Field	navigationHidden	I
android/content/res/Configuration	Field	navigation	I
android/content/res/Configuration	Field	orientation	I
android/content/res/Configuration	Field	screenHeightDp	I
android/content/res/Configuration	Field	screenLayout	I
android/content/res/Configuration	Field	screenWidthDp	I
android/content/res/Configuration	Field	smallestScreenWidthDp	I
android/content/res/Configuration	Field	touchscreen	I
android/content/res/Configuration	Field	uiMode	I
android/os/Build$VERSION	StaticField	SDK_INT	I
androidx/core/graphics/Insets	Field	bottom	I
androidx/core/graphics/Insets	Field	left	I
androidx/core/graphics/Insets	Field	right	I
androidx/core/graphics/Insets	Field	top	I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	captionBar	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	displayCutout	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	ime	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	mandatorySystemGestures	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	navigationBars	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	statusBars	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	systemBars	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	systemGestures	()I
androidx/core/view/WindowInsetsCompat$Type	StaticMethod	tappableElement	()I
com/google/androidgamesdk/GameActivity	Method	bootstrapTheApp	()V
com/google/androidgamesdk/GameActivity	Method	finish	()V
com/google/androidgamesdk/GameActivity	Method	getWaterfallInsets	()Landroidx/core/graphics/Insets;
com/google/androidgamesdk/GameActivity	Method	getWindowInsets	(I)Landroidx/core/graphics/Insets;
com/roblox/client/JNIAppRestarter	StaticMethod	restartApp	(Landroid/content/Context;Ljava/lang/String;)V
com/roblox/client/JNIBaseUrlSetter	StaticMethod	setBaseUrl	(Ljava/lang/String;)V
com/roblox/client/LocalStorageManager	Method	getAllocatableBytes	()J
com/roblox/client/startup/NativeHelper	Method	gameActivity_onDidLogInReceived	(Ljava/lang/String;)V
com/roblox/client/startup/NativeHelper	Method	gameActivity_onExperienceStart	()V
com/roblox/client/startup/NativeHelper	Method	gameActivity_onGameLoaded	(J)V
com/roblox/client/startup/NativeHelper	Method	gameActivity_onScreenOrientationChanged	(IZ)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	gameLoadedCallback	(J)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	getMobileAdvertisingId	()V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	onExtendedAnalyticsRecvCallback	([BI)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	onVrSessionStateUpdate	(I)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	promptNativePurchase	(JLjava/lang/String;)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	promptNativePurchaseWithPaymentSessionId	(JLjava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	promptNativePurchaseWithPaymentSessionId	(JLjava/lang/String;Ljava/lang/String;)V
com/roblox/engine/jni/NativeGLJavaInterface	StaticMethod	saveImageToAlbum	(Ljava/lang/String;)V
com/roblox/engine/jni/util/NetworkUtils	StaticMethod	getPublicIPv4Addresseses	()Ljava/lang/String;
com/roblox/universalapp/cookie/CookieProtocol	StaticMethod	setCookie	(Ljava/lang/String;Ljava/lang/String;)V
Invalid	Method	apply	()V
Invalid	Method	edit	()Landroid/content/SharedPreferences$Editor;
Invalid	Method	putString	(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
java/lang/Class	Method	getClassLoader	()Ljava/lang/ClassLoader;
java/util/List	Method	get	(I)Ljava/lang/Object;
java/util/List	Method	size	()I
org/fmod/AudioDevice	Method	close	()V
org/fmod/AudioDevice	Method	init	(IIII)Z
org/fmod/AudioDevice	Method	write	([BI)V
org/fmod/AudioDevice	StaticMethod	<init>	()Lorg/fmod/AudioDevice;
org/fmod/FMOD	StaticMethod	checkInit	()Z
org/fmod/FMOD	StaticMethod	supportsAAudio	()Z
org/fmod/FMOD	StaticMethod	supportsLowLatency	()Z
